date,time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
2023-01-02,04:30:00,16626.9,16626.9,16627.2,16626.6,5.11372319,85024.894949183,green,5.11372319,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,05:15:00,16626.9,16637.225,16658.8,16614.9,100.45718184,1671576.97054508,green,52.785452515,,,,16626.9,16627.200000000004,16626.600000000002,16627.500000000004,16626.3,16627.800000000007,16626.0,,,,,,,,,,,,,,,,,
2023-01-02,06:00:00,16632.0625,16646.325000000004,16658.9,16632.0625,75.31729323,1254103.4484178,red,60.29606608666668,,,,16636.975,16659.049999999996,16615.149999999998,16680.874999999996,16593.075,16702.949999999993,16571.25,,,,,,,,,,,,,,,,,
2023-01-02,06:45:00,16639.193750000002,16694.8,16763.5,16638.9,491.72674412,8217730.773183894,green,168.153735595,,,,16645.7625,16659.4625,16632.625,16672.600000000002,16618.925,16686.300000000003,16605.7875,,,,,,,,,,,,,,,,,
2023-01-02,07:30:00,16666.996875,16735.575,16757.9,16666.996875,174.24924832,2914829.831764721,green,169.37283814,,,,16699.066666666666,16759.23333333333,16634.63333333333,16823.666666666664,16574.466666666667,16883.83333333333,16510.033333333333,16586.235270353187,16668.165,16750.094729646815,0.9830683779145927,0.9113891275523163,,16668.165,,,16668.165,,,,,,,
2023-01-02,08:15:00,16701.2859375,16742.475,16766.3,16701.2859375,149.09507133,2496520.315097678,red,165.99321033833334,,,,16720.157291666666,16773.317708333332,16682.41458333333,16811.060416666667,16629.254166666666,16864.220833333333,16591.51145833333,16603.9266463151,16691.280000000002,16778.633353684905,1.0466944858021994,0.793033969735521,,16691.280000000002,,,16692.935,,,,,,,
2023-01-02,09:00:00,16721.88046875,16728.35,16742.8,16716.1,73.32862698,1226696.052655713,red,152.7554127157143,,,,16736.686979166665,16772.08802083333,16707.07395833333,16801.701041666664,16671.672916666666,16837.102083333328,16642.059895833332,16638.344621979642,16709.504999999997,16780.665378020352,0.8517353209488252,0.6324121689924881,,16709.504999999997,,,16704.74,,,,,,,
2023-01-02,09:45:00,16725.115234375,16728.925,16755.0,16708.7,157.89071936,2641669.759004334,green,153.39732604625,,,,16729.083333333332,16742.066666666666,16715.366666666665,16755.783333333333,16702.38333333333,16768.766666666666,16688.666666666664,16693.154085805214,16726.024999999998,16758.89591419478,0.3930511187778787,0.5441119462454994,,16726.024999999998,,,16712.801666666666,,,,,,,
2023-01-02,10:30:00,16727.0201171875,16728.65,16736.7,16721.6,60.43005968,1010845.017487958,red,143.06762978333333,,,,16730.875,16753.05,16706.75,16777.175,16684.575,16799.35,16660.45,16721.71901697361,16732.795000000002,16743.870983026394,0.13238652629632228,0.31288342578155165,,16732.795000000002,,,16718.084444444445,,,,,,,
2023-01-02,11:15:00,16727.83505859375,16725.975,16737.1,16706.0,88.78043878,1484699.283981041,green,137.638910683,,,,16728.983333333334,16736.36666666667,16721.266666666666,16744.083333333336,16713.88333333333,16751.46666666667,16706.166666666664,16719.08691279295,16730.874999999996,16742.663087207042,0.14091417462679587,0.29216305775761475,,16730.874999999996,16699.52,,16720.71462962963,16699.52,,,,,,
2023-01-02,12:00:00,16726.905029296875,16731.025,16740.4,16724.6,63.10161272,1055980.745742872,red,130.86279268636363,,,,16723.024999999998,16740.049999999996,16708.949999999997,16754.124999999996,16691.925,16771.149999999994,16677.85,16725.367454351377,16728.585,16731.80254564862,0.03846763666648477,0.8791709996480231,,16728.585,16709.932500000003,,16724.15141975309,16705.24818181818,,,,,0.626244218705832,
2023-01-02,12:45:00,16728.96501464844,16719.600000000002,16728.96501464844,16713.2,36.54621811,610988.447057724,red,123.00307813833332,,,,16732.008333333335,16739.41666666667,16723.61666666667,16747.808333333338,16716.208333333332,16755.216666666674,16707.816666666666,16718.920292172108,16726.835000000003,16734.749707827898,0.0946348526531737,0.0429395400736454,,16726.835000000003,16718.170000000002,,16722.634279835394,16707.857603305783,,,,,0.4951246376724703,
2023-01-02,13:30:00,16724.28250732422,16706.05,16724.28250732422,16688.2,160.19793595,2675044.890239987,red,125.86422104692308,,,,16720.588338216145,16727.97667643229,16712.21166178385,16736.353352864582,16704.823323567707,16743.741691080726,16696.446647135414,16704.342449944234,16722.260000000002,16740.17755005577,0.2142957956133742,0.04765021028128811,,16722.260000000002,16724.142499999998,,16717.106186556928,16707.528948159277,,,,,0.35878790063269156,
2023-01-02,14:15:00,16715.166253662108,16693.85,16715.166253662108,16669.6,140.41931051,2343785.944462436,red,126.90387029428572,,,,16706.17750244141,16724.155004882818,16688.072497558598,16742.26000976563,16670.09499511719,16760.237512207037,16651.98999023438,16688.09138004233,16715.3,16742.50861995767,0.3255534744535812,0.10582344798501483,,16715.3,16724.0475,,16709.354124371286,16705.041866675772,,,,,-0.005690394613896109,-20.582438244437657
2023-01-02,15:00:00,16704.508126831053,16720.175,16748.8,16693.8,157.42911463,2631768.162360773,green,128.93888658333333,,,,16692.872084554034,16716.14416910807,16670.57791544596,16738.438338216143,16647.305830891924,16761.71042277018,16625.01166178385,16688.395590898202,16714.140000000003,16739.884409101804,0.3080554440946474,0.617209914900982,66.2782680953681,16714.140000000003,16722.5075,,16712.96108291419,16707.793345461992,,,,42.87137322015046,-0.09201954519041894,34.68640545151502
2023-01-02,15:45:00,16712.341563415524,16733.6,16741.1,16712.341563415524,119.76268645,2003837.85426409,red,128.365374075,,,,16720.925,16748.05,16693.05,16775.925,16665.925,16803.05,16638.05,16687.514911569768,16714.655,16741.79508843023,0.3247460199475385,0.849022444210186,69.78632634947394,16714.655,16721.62,,16719.840721942794,16712.485464468904,,65.77372250158392,,41.368980624452774,-0.05300888906807387,54.12294359744643
2023-01-02,16:30:00,16722.97078170776,16722.0,16734.4,16709.0,75.31604854,1259201.445726843,red,125.24482551411764,,,,16729.01385447184,16745.686145528154,16716.92770894368,16757.772291056313,16700.255417887365,16774.44458211263,16688.169272359206,16687.58033433335,16715.135,16742.689665666647,0.32969719558529875,0.6245705551838879,63.62708360048319,16715.135,16720.985,,16720.560481295197,16714.21538002001,,70.13405519273412,,39.72653197727056,-0.03795951184664683,7.129717907901733
2023-01-02,17:15:00,16722.48539085388,16713.325,16722.48539085388,16709.2,45.15677411,754710.265035724,red,120.795489325,,,,16721.8,16734.6,16709.199999999997,16747.2,16696.399999999998,16760.0,16683.799999999996,16690.37201762147,16716.59,16742.80798237853,0.31367620284435993,0.4377335762748636,59.404552199388704,16716.59,16719.425,,16718.148654196797,16714.053492743646,,62.507019746591595,66.13826581363655,37.08985078147892,-0.09325165842992629,-57.74953683385962
